,Player,matches,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,stumpings
463,S Dube,34,688,84,541,4,111,176,20.24,127.17,15.53,9.51,44,27.75,11,0
464,S Gopal,48,180,21,173,49,958,1291,3.75,104.05,12.14,8.09,26.35,19.55,5,0
465,S Kaul,55,20,1,36,58,1238,1772,0.36,55.56,2.78,8.59,30.55,21.34,8,0
466,S Kaushik,10,0,0,1,6,210,304,0,0,0,8.69,50.67,35,0,0
467,S Ladda,9,0,0,10,5,141,225,0,0,0,9.57,45,28.2,1,0
468,S Lamichhane,9,0,0,1,13,211,297,0,0,0,8.45,22.85,16.23,1,0
469,S Nadeem,71,39,2,88,48,1444,1800,0.55,44.32,2.27,7.48,37.5,30.08,11,0
470,S Narwal,7,37,6,29,5,113,203,5.29,127.59,20.69,10.78,40.6,22.6,1,0
471,S Rana,8,91,10,82,0,16,18,11.38,110.98,12.2,6.75,180000,160000,3,0
472,S Randiv,8,2,0,4,6,180,223,0.25,50,0,7.43,37.17,30,2,0
473,S Sohal,20,368,52,311,0,0,0,18.4,118.33,16.72,0,0,0,2,0
474,S Sreesanth,44,34,6,57,40,947,1221,0.77,59.65,10.53,7.74,30.52,23.67,3,0
475,S Sriram,2,31,3,38,0,18,49,15.5,81.58,7.89,16.33,490000,180000,0,0
476,S Tyagi,14,3,0,4,6,220,304,0.21,75,0,8.29,50.67,36.67,3,0
477,S Vidyut,8,145,24,115,1,13,22,18.12,126.09,20.87,10.15,22,13,1,0
478,SA Abbott,3,22,3,18,1,59,104,7.33,122.22,16.67,10.58,103.99,58.99,0,0
479,SA Asnodkar,19,423,66,352,0,0,0,22.26,120.17,18.75,0,0,0,6,0
480,SA Yadav,109,2644,368,1973,0,6,8,24.26,134.01,18.65,8,80000,60000,58,0
481,SB Bangar,10,49,4,58,4,153,221,4.9,84.48,6.9,8.67,55.25,38.25,2,0
482,SB Jakati,57,28,3,30,47,1101,1474,0.49,93.33,10,8.03,31.36,23.43,19,0
483,SB Joshi,4,6,0,16,1,55,82,1.5,37.5,0,8.95,81.99,54.99,0,0
484,SB Styris,12,131,13,134,8,222,278,10.92,97.76,9.7,7.51,34.75,27.75,2,0
485,SB Wagh,8,2,0,3,5,108,147,0.25,66.67,0,8.17,29.4,21.6,1,0
486,SC Ganguly,57,1349,179,1326,10,280,370,23.67,101.73,13.5,7.93,37,28,22,0
487,SD Chitnis,9,99,12,92,2,38,62,11,107.61,13.04,9.79,31,19,2,0
488,SD Lad,1,15,2,13,0,0,0,15,115.38,15.38,0,0,0,0,0
489,SE Bond,8,1,0,2,9,191,225,0.12,50,0,7.07,25,21.22,0,0
490,SE Marsh,69,2489,347,1913,0,0,0,36.07,130.11,18.14,0,0,0,26,0
491,SE Rutherford,9,106,11,107,1,46,60,11.78,99.07,10.28,7.83,59.99,46,5,0
492,SJ Srivastava,14,5,0,5,14,306,444,0.36,100,0,8.71,31.71,21.86,2,0
493,SK Raina,200,5536,710,4177,25,930,1139,27.68,132.54,17,7.35,45.56,37.2,106,0
494,SK Trivedi,76,42,4,61,65,1557,1944,0.55,68.85,6.56,7.49,29.91,23.95,12,0
495,SK Warne,55,198,20,219,57,1223,1465,3.6,90.41,9.13,7.19,25.7,21.46,11,0
496,SL Malinga,122,88,11,103,170,2974,3486,0.72,85.44,10.68,7.03,20.51,17.49,15,0
497,SM Curran,32,337,48,230,32,681,1005,10.53,146.52,20.87,8.85,31.41,21.28,9,0
498,SM Harwood,3,9,0,14,3,67,74,3,64.29,0,6.63,24.67,22.33,2,0
499,SM Katich,11,241,34,191,0,0,0,21.91,126.18,17.8,0,0,0,2,0
500,SM Pollock,13,147,20,116,11,280,307,11.31,126.72,17.24,6.58,27.91,25.45,2,0
501,SMSM Senanayake,8,10,0,17,9,195,211,1.25,58.82,0,6.49,23.44,21.67,2,0
502,SN Khan,32,532,72,394,0,2,6,16.62,135.03,18.27,18,60000,20000,8,0
503,SN Thakur,74,173,20,138,82,1650,2371,2.34,125.36,14.49,8.62,28.91,20.12,21,0
504,SO Hetmyer,43,831,107,577,0,0,0,19.33,144.02,18.54,0,0,0,17,0
505,SP Fleming,10,196,30,171,0,0,0,19.6,114.62,17.54,0,0,0,2,0
506,SP Goswami,21,293,35,307,0,0,0,13.95,95.44,11.4,0,0,0,18,7
507,SP Jackson,8,61,6,57,0,0,0,7.62,107.02,10.53,0,0,0,7,2
508,SP Narine,148,1025,175,664,152,3516,3907,6.93,154.37,26.36,6.67,25.7,23.13,16,0
509,SPD Smith,93,2495,286,1999,0,2,5,26.83,124.81,14.31,15,50000,20000,54,0
510,SR Tendulkar,78,2334,325,2044,0,37,59,29.92,114.19,15.9,9.57,590000,370000,23,0
511,SR Watson,145,3880,567,2892,92,2137,2742,26.76,134.16,19.61,7.7,29.8,23.23,38,0
512,SS Cottrell,6,0,0,2,6,131,177,0,0,0,8.11,29.5,21.83,0,0
513,SS Iyer,100,2780,337,2295,0,6,7,27.8,121.13,14.68,7,70000,60000,39,0
514,SS Prabhudessai,5,67,9,62,0,0,0,13.4,108.06,14.52,0,0,0,5,0
515,SS Shaikh,1,6,1,7,0,0,0,6,85.71,14.29,0,0,0,2,0
516,SS Tiwary,73,1494,161,1291,0,0,0,20.47,115.72,12.47,0,0,0,25,0
517,ST Jayasuriya,30,768,123,573,13,301,396,25.6,134.03,21.47,7.89,30.46,23.15,4,0
518,STR Binny,86,880,101,700,22,611,763,10.23,125.71,14.43,7.49,34.68,27.77,19,0
519,SV Samson,133,3526,437,2663,0,0,0,26.51,132.41,16.41,0,0,0,73,12
520,SW Billings,27,503,60,399,0,0,0,18.63,126.07,15.04,0,0,0,19,1
521,SW Tait,21,23,2,26,23,534,668,1.1,88.46,7.69,7.51,29.04,23.22,5,0
522,Sachin Baby,13,144,16,123,2,10,8,11.08,117.07,13.01,4.8,4,5,5,0
523,Salman Butt,7,193,32,172,0,0,0,27.57,112.21,18.6,0,0,0,2,0
524,Sandeep Sharma,104,52,4,66,114,2399,3046,0.5,78.79,6.06,7.62,26.72,21.04,10,0
525,Shahbaz Ahmed,26,279,29,253,13,341,478,10.73,110.28,11.46,8.41,36.77,26.23,12,0
526,Shahid Afridi,10,81,13,46,9,185,237,8.1,176.09,28.26,7.69,26.33,20.56,4,0
527,Shakib Al Hasan,71,795,94,665,63,1515,1864,11.2,119.55,14.14,7.38,29.59,24.05,13,0
528,Shashank Singh,6,69,9,47,0,13,20,11.5,146.81,19.15,9.23,200000,130000,3,0
529,Shivam Mavi,32,51,6,58,30,687,958,1.59,87.93,10.34,8.37,31.93,22.9,16,0
530,Shivam Sharma,5,5,1,3,4,114,165,1,166.67,33.33,8.68,41.25,28.5,1,0
531,Shoaib Ahmed,7,1,0,6,5,103,154,0.14,16.67,0,8.97,30.8,20.6,4,0
532,Shoaib Akhtar,3,2,0,8,5,46,54,0.67,25,0,7.04,10.8,9.2,0,0
533,Shoaib Malik,6,52,5,49,2,58,87,8.67,106.12,10.2,9,43.5,29,6,0
534,Shubman Gill,70,1900,235,1555,0,0,0,27.14,122.19,15.11,0,0,0,30,0
535,Simarjeet Singh,6,7,0,8,4,113,143,1.17,87.5,0,7.59,35.75,28.25,1,0
